solID,rn,coef,xDecompAgg,xDecompPerc,xDecompMeanNon0,xDecompMeanNon0Perc,xDecompAggRF,xDecompPercRF,xDecompMeanNon0RF,xDecompMeanNon0PercRF,pos,spend_share_refresh,effect_share_refresh,mape,nrmse,decomp.rssd,rsq_train,lambda,lambda_hp,lambda_max,iterPar,iterNG,df.int,trial,iterations,robynPareto,total_spend,mean_spend,spend_share,effect_share,roi_mean,roi_total,cpa_total,mean_response,next_unit_response
1_143_1,(Intercept),34100.4359881589,3580545.77875669,0.0720644786082351,34100.4359881589,0.0695145039465837,3580545.77875669,0.0720644786082351,34100.4359881589,0.0695145039465837,TRUE,,,0,0.184347654584408,0.0730379932572558,0.212632592652051,461269.589447759,0.063786484842502,7220864.474564,1,143,1,1,285,3,,,,,,,,,
1_143_1,C1_Assortment_number_SKUs,-2745.72097771821,-1334585.13842971,-0.0268607603706251,0,0,-1334585.13842971,-0.0268607603706251,0,0,FALSE,,,0,0.184347654584408,0.0730379932572558,0.212632592652051,461269.589447759,0.063786484842502,7220864.474564,1,143,1,1,285,3,,,,,,,,,
1_143_1,C1_Value_Sales,-0.0572500798554485,-747470.01546083,-0.015044085529938,0,0,-747470.01546083,-0.015044085529938,0,0,FALSE,,,0,0.184347654584408,0.0730379932572558,0.212632592652051,461269.589447759,0.063786484842502,7220864.474564,1,143,1,1,285,3,,,,,,,,,
1_143_1,C1_Weighted_anypromo,-70.4202355510693,-404015.679605951,-0.00813149198457241,0,0,-404015.679605951,-0.00813149198457241,0,0,FALSE,,,0,0.184347654584408,0.0730379932572558,0.212632592652051,461269.589447759,0.063786484842502,7220864.474564,1,143,1,1,285,3,,,,,,,,,
1_143_1,FB_Assortment_number_SKUs,30632.5858004932,27641926.4487911,0.556340049910216,263256.442369439,0.536654165020309,27641926.4487911,0.556340049910216,263256.442369439,0.536654165020309,TRUE,,,0,0.184347654584408,0.0730379932572558,0.212632592652051,461269.589447759,0.063786484842502,7220864.474564,1,143,1,1,285,3,,,,,,,,,
1_143_1,FB_Price_per_SU_nonpromo,0,0,0,0,0,0,0,0,0,TRUE,,,0,0.184347654584408,0.0730379932572558,0.212632592652051,461269.589447759,0.063786484842502,7220864.474564,1,143,1,1,285,3,,,,,,,,,
1_143_1,FB_Weighted_anypromo,1205.76892194389,9118627.47220065,0.18352764494888,86844.0711638157,0.177033587774383,9118627.47220065,0.18352764494888,86844.0711638157,0.177033587774383,TRUE,,,0,0.184347654584408,0.0730379932572558,0.212632592652051,461269.589447759,0.063786484842502,7220864.474564,1,143,1,1,285,3,,,,,,,,,
1_143_1,Google.Search,5648.1959190343,79460.7855089291,0.00159928134740682,756.769385799325,0.00154269137421199,79460.7855089291,0.00159928134740682,756.769385799325,0.00154269137421199,TRUE,0.0120124064605357,0.0339709060920214,0,0.184347654584408,0.0730379932572558,0.212632592652051,461269.589447759,0.063786484842502,7220864.474564,1,143,1,1,285,3,67929.14,679.2914,0.0120124064605357,0.0339709060920214,0.438795343135556,1.16975992201475,0.854876270916888,298.069902952032,1.22864363635404
1_143_1,TV.settimanale,36081.8113931778,1785875.40537916,0.0359437325760457,17008.3371940872,0.0346718770227382,1785875.40537916,0.0359437325760457,17008.3371940872,0.0346718770227382,TRUE,0.737975044995691,0.763493656646129,0,0.184347654584408,0.0730379932572558,0.212632592652051,461269.589447759,0.063786484842502,7220864.474564,1,143,1,1,285,3,4173186.3064,59616.9472342857,0.737975044995691,0.763493656646129,0.189176149749326,0.427940493008985,2.33677349149337,11278.1045375909,0.156332505292085
1_143_1,holiday,0.116000609670003,-146583.497947196,-0.0029502383169652,-7714.92094458927,-0.0157270394617962,-146583.497947196,-0.0029502383169652,-7714.92094458927,-0.0157270394617962,FALSE,,,0,0.184347654584408,0.0730379932572558,0.212632592652051,461269.589447759,0.063786484842502,7220864.474564,1,143,1,1,285,3,,,,,,,,,
1_143_1,lockdown,0,0,0,0,0,0,0,0,0,TRUE,,,0,0.184347654584408,0.0730379932572558,0.212632592652051,461269.589447759,0.063786484842502,7220864.474564,1,143,1,1,285,3,,,,,,,,,
1_143_1,programmatic_behavioural_investments,0,0,0,0,0,0,0,0,0,TRUE,0.0292096665533598,0,0,0.184347654584408,0.0730379932572558,0.212632592652051,461269.589447759,0.063786484842502,7220864.474564,1,143,1,1,285,3,165178.187665821,2664.16431719066,0.0292096665533598,0,0,0,Inf,0,0
1_143_1,programmatic_sociodemo_investments,8721.50993049285,175043.1838186,0.00352303714440794,1667.07794112953,0.00339837579080078,175043.1838186,0.00352303714440794,1667.07794112953,0.00339837579080078,TRUE,0.0773319042299708,0.074834089815056,0,0.184347654584408,0.0730379932572558,0.212632592652051,461269.589447759,0.063786484842502,7220864.474564,1,143,1,1,285,3,437305.361432966,6073.68557545787,0.0773319042299708,0.074834089815056,0.394831674235163,0.400276784270417,2.49827129450612,2398.08344453599,0.429449682667837
1_143_1,reservation_social_display_investments,16199.857750036,190094.262572415,0.0038259653039417,1810.42154830871,0.00369058495054393,190094.262572415,0.0038259653039417,1810.42154830871,0.00369058495054393,TRUE,0.0490449768110801,0.0812686950062166,0,0.184347654584408,0.0730379932572558,0.212632592652051,461269.589447759,0.063786484842502,7220864.474564,1,143,1,1,285,3,277345.185333333,4700.76585310735,0.0490449768110801,0.0812686950062166,0.435528958855068,0.68540675167642,1.45898767053888,2047.3196578253,0.675856754769029
1_143_1,reservation_social_video_investments,15709.4482646103,108609.850623263,0.00218595508632251,1034.37952974536,0.00210860588198103,108609.850623263,0.00218595508632251,1034.37952974536,0.00210860588198103,TRUE,0.0944260009493625,0.0464326524405771,0,0.184347654584408,0.0730379932572558,0.212632592652051,461269.589447759,0.063786484842502,7220864.474564,1,143,1,1,285,3,533971.028969271,8612.43595111727,0.0944260009493625,0.0464326524405771,0.168433378578422,0.203400268424514,4.91641435749197,1450.62168503695,0.181609465476186
1_143_1,season,0.161049258703603,-1425.53761226252,-2.86913311857723e-05,-13.5765486882145,-2.76760991471073e-05,-1425.53761226252,-2.86913311857723e-05,-13.5765486882145,-2.76760991471073e-05,FALSE,,,0,0.184347654584408,0.0730379932572558,0.212632592652051,461269.589447759,0.063786484842502,7220864.474564,1,143,1,1,285,3,,,,,,,,,
1_143_1,trend,0.188458935598082,9639204.1714052,0.19400512260783,91801.9444895734,0.187140323799392,9639204.1714052,0.19400512260783,91801.9444895734,0.187140323799392,TRUE,,,0,0.184347654584408,0.0730379932572558,0.212632592652051,461269.589447759,0.063786484842502,7220864.474564,1,143,1,1,285,3,,,,,,,,,
1_188_1,(Intercept),34073.2494029336,3577691.18730803,0.0720070251759658,34073.2494029336,0.0694603522946183,3577691.18730803,0.0720070251759658,34073.2494029336,0.0694603522946183,TRUE,,,0,0.184343607600431,0.0724348858538534,0.212667162425262,461269.589447759,0.063786484842502,7220864.474564,1,188,1,1,375,2,,,,,,,,,
1_188_1,C1_Assortment_number_SKUs,-2744.47151973986,-1333977.82688476,-0.0268485372089776,0,0,-1333977.82688476,-0.0268485372089776,0,0,FALSE,,,0,0.184343607600431,0.0724348858538534,0.212667162425262,461269.589447759,0.063786484842502,7220864.474564,1,188,1,1,375,2,,,,,,,,,
1_188_1,C1_Value_Sales,-0.0572391136985319,-747326.838831197,-0.0150412038605499,0,0,-747326.838831197,-0.0150412038605499,0,0,FALSE,,,0,0.184343607600431,0.0724348858538534,0.212667162425262,461269.589447759,0.063786484842502,7220864.474564,1,188,1,1,375,2,,,,,,,,,
1_188_1,C1_Weighted_anypromo,-70.395468816277,-403873.587647433,-0.00812863214600652,0,0,-403873.587647433,-0.00812863214600652,0,0,FALSE,,,0,0.184343607600431,0.0724348858538534,0.212667162425262,461269.589447759,0.063786484842502,7220864.474564,1,188,1,1,375,2,,,,,,,,,
1_188_1,FB_Assortment_number_SKUs,30634.0264391991,27643226.4379401,0.556366214368377,263268.823218477,0.536689207204597,27643226.4379401,0.556366214368377,263268.823218477,0.536689207204597,TRUE,,,0,0.184343607600431,0.0724348858538534,0.212667162425262,461269.589447759,0.063786484842502,7220864.474564,1,188,1,1,375,2,,,,,,,,,
1_188_1,FB_Price_per_SU_nonpromo,0,0,0,0,0,0,0,0,0,TRUE,,,0,0.184343607600431,0.0724348858538534,0.212667162425262,461269.589447759,0.063786484842502,7220864.474564,1,188,1,1,375,2,,,,,,,,,
1_188_1,FB_Weighted_anypromo,1205.54680632768,9116947.72285311,0.183493837180902,86828.073550982,0.177004209566082,9116947.72285311,0.183493837180902,86828.073550982,0.177004209566082,TRUE,,,0,0.184343607600431,0.0724348858538534,0.212667162425262,461269.589447759,0.063786484842502,7220864.474564,1,188,1,1,375,2,,,,,,,,,
1_188_1,Google.Search,5628.65591169089,79185.8898865722,0.00159374861275659,754.151332253068,0.00153738249623013,79185.8898865722,0.00159374861275659,754.151332253068,0.00153738249623013,TRUE,0.0120124064605357,0.0338096257749175,0,0.184343607600431,0.0724348858538534,0.212667162425262,461269.589447759,0.063786484842502,7220864.474564,1,188,1,1,375,2,67929.14,679.2914,0.0120124064605357,0.0338096257749175,0.437277324931154,1.16571312232971,0.85784399338447,297.038726240739,1.22439312769234
1_188_1,TV.settimanale,36056.8578500366,1784640.32550782,0.0359188745257743,16996.5745286459,0.0346485314799426,1784640.32550782,0.0359188745257743,16996.5745286459,0.0346485314799426,TRUE,0.737975044995691,0.761979459152079,0,0.184343607600431,0.0724348858538534,0.212667162425262,461269.589447759,0.063786484842502,7220864.474564,1,188,1,1,375,2,4173186.3064,59616.9472342857,0.737975044995691,0.761979459152079,0.189045318867178,0.427644536926352,2.33839068116569,11270.3047997933,0.156224388494593
1_188_1,holiday,0.116009054170728,-146594.168791583,-0.00295045308557439,-7715.48256797806,-0.0157284716510953,-146594.168791583,-0.00295045308557439,-7715.48256797806,-0.0157284716510953,FALSE,,,0,0.184343607600431,0.0724348858538534,0.212667162425262,461269.589447759,0.063786484842502,7220864.474564,1,188,1,1,375,2,,,,,,,,,
1_188_1,lockdown,0,0,0,0,0,0,0,0,0,TRUE,,,0,0.184343607600431,0.0724348858538534,0.212667162425262,461269.589447759,0.063786484842502,7220864.474564,1,188,1,1,375,2,,,,,,,,,
1_188_1,programmatic_behavioural_investments,0,0,0,0,0,0,0,0,0,TRUE,0.0292096665533598,0,0,0.184343607600431,0.0724348858538534,0.212667162425262,461269.589447759,0.063786484842502,7220864.474564,1,188,1,1,375,2,165178.187665821,2664.16431719066,0.0292096665533598,0,0,0,Inf,0,0
1_188_1,programmatic_sociodemo_investments,8781.92676163086,179894.284497185,0.00362067366763086,1713.27889997319,0.00349262128081121,179894.284497185,0.00362067366763086,1713.27889997319,0.00349262128081121,TRUE,0.0773319042299708,0.0768086138402764,0,0.184343607600431,0.0724348858538534,0.212667162425262,461269.589447759,0.063786484842502,7220864.474564,1,188,1,1,375,2,437305.361432966,6073.68557545787,0.0773319042299708,0.0768086138402764,0.408994477355598,0.411369949610739,2.43090191917581,2484.10385755662,0.437425540114873
