solID,mape,decomp.rssd,nrmse,Google.Search,programmatic_sociodemo_investments,programmatic_behavioural_investments,reservation_social_video_investments,reservation_social_display_investments,TV.settimanale,cluster,top_sol
1_143_1,0,0.0730379932572558,0.184347654584408,0.0509448621302159,0.498009996826228,0,0.864972264208503,0.490297736518283,0.422881386267292,2,FALSE
1_188_1,0,0.0724348858538534,0.184343607600431,0.0507681132383647,0.511811714670034,0,0.863824538088404,0.489734687314466,0.422473210131036,2,FALSE
1_300_1,0,0.171106038859952,0.142301530983351,0.108561180094883,0,0,0,0.745298548947367,0.40971589456774,5,FALSE
1_394_1,0,0.0632758883081324,0.18949271653303,0.0127078658223809,0.444250657529491,0,0.870939774221379,0.326972104325383,0.308524913863072,2,FALSE
1_409_1,0,0.0598560300040503,0.189487800110163,0.0260175381723601,0.442781590428148,0,0.871859510500586,0.327573535449007,0.308017822295373,2,FALSE
1_419_1,0,0.170990651745735,0.144037638954063,0.151260740167999,0,0,0,0.927388399298589,0.597286225507708,5,FALSE
1_445_2,0,0.0721873812897391,0.18582023792467,0.0742271597940999,0.556699904358884,0.099839850064523,0.798981486261407,0.30403133376541,0.356519514520668,2,FALSE
1_454_1,0,0.0627070547481946,0.189524706865094,0.0257386845360115,0.45211286084361,0,0.871385477611114,0.405613201736135,0.307654908861249,2,FALSE
1_469_1,0,0.0567319882740653,0.189787357977685,0.0269324734320217,0.438724987003817,0,0.881013680409233,0.324623153855539,0.286889218724794,2,FALSE
1_478_1,0,0.235406068201522,0.13808875116351,0.530311187505818,0,0,0,0.815308605910177,0.77085115355859,3,FALSE
1_514_1,0,0.0595186811353019,0.189822025068089,0.0263127534088793,0.485148620362335,0,0.880363137166579,0.367201579037931,0.286197758372345,2,FALSE
1_528_1,0,0.0793934047728635,0.181075667530368,0.0934544632369193,0.529623127151382,0.434800715482501,0.831738188359575,0.381380987159682,0.484057834018324,2,FALSE
1_535_1,0,0.0657915337774991,0.188956450540657,0.0602401404707112,0.561012571964843,0,0.925495411200965,0.379129516906084,0.40649167026608,2,FALSE
1_537_1,0,0.0304477817153564,0.209784297621742,0.0145082246161994,0.202080734012069,0.404351864466237,0.594058493978285,0.0648375351595299,0.0529271112551695,4,FALSE
1_544_1,0,0.0570006683407994,0.189792872056191,0.0270364419953012,0.427901303297963,0,0.8817397604363,0.325036712513337,0.287070468978214,2,FALSE
1_565_1,0,0.0669503148584464,0.188874855512703,0.0276466829133063,0.694576763953056,0,0.905104370445586,0.352057617969518,0.405636465297701,2,FALSE
1_596_1,0,0.0685093758012112,0.18682443792431,0.0583864722055872,0.596612942584146,0,0.834415382708475,0.355001656752053,0.382133582398678,2,FALSE
1_623_1,0,0.0724819031749948,0.184560351419276,0.0772551019690687,0.531678325820485,0,0.878966626318067,0.410182763793296,0.397403145804774,2,FALSE
