solID,Google.Search_alphas,Google.Search_gammas,Google.Search_thetas,programmatic_behavioural_investments_alphas,programmatic_behavioural_investments_gammas,programmatic_behavioural_investments_thetas,programmatic_sociodemo_investments_alphas,programmatic_sociodemo_investments_gammas,programmatic_sociodemo_investments_thetas,reservation_social_display_investments_alphas,reservation_social_display_investments_gammas,reservation_social_display_investments_thetas,reservation_social_video_investments_alphas,reservation_social_video_investments_gammas,reservation_social_video_investments_thetas,TV.settimanale_alphas,TV.settimanale_gammas,TV.settimanale_thetas,lambda,mape,nrmse,decomp.rssd,rsq_train,lambda_hp,lambda_max,pos,Elapsed,ElapsedAccum,iterPar,iterNG,df.int,trial,iterations,coef0,mape.qt10,robynPareto
10_1307_1,2.91093887794851,0.971927831442937,0.0843216469448786,2.30101324453431,0.826686694217789,0.254541849040801,0.865389643195042,0.737952772157871,0.215969803477813,2.77467689032724,0.925811145309482,0.349983497598067,0.716228951601565,0.388126934431565,0.00499915741820842,1.5635860033632,0.32007422441991,0.469217166543756,1478818.36949896,0,0.172304204542587,0.114065524710404,0.0471971922228983,0.204718439553805,7220864.474564,0,0.031926155090332,229.496458053589,1,1307,1,10,2613,TRUE,TRUE,1
10_1352_1,2.91093887794851,0.971927831442937,0.0843216469448786,2.30101324453431,0.826686694217789,0.39890532024252,0.916523617071998,0.337808022967325,0.296360124920004,2.77467689032724,0.925811145309482,0.349983497598067,0.716228951601565,0.388126934431565,0.00499915741820842,1.5635860033632,0.32007422441991,0.469217166543756,1478818.36949896,0,0.172302136663989,0.11432377560093,0.0472200618762108,0.204718439553805,7220864.474564,0,0.0319259166717529,237.57309794426,1,1352,1,10,2703,TRUE,TRUE,2
10_1367_1,2.91093887794851,0.971927831442937,0.0843216469448786,2.30101324453431,0.826686694217789,0.254541849040801,0.865389643195042,0.737952772157871,0.215969803477813,2.77467689032724,0.925811145309482,0.349983497598067,0.716228951601565,0.388126934431565,0.00522647258337997,1.5635860033632,0.32007422441991,0.469217166543756,1478818.36949896,0,0.17230427108492,0.114078904796384,0.0471964562950121,0.204718439553805,7220864.474564,0,0.031994104385376,240.287182092667,1,1367,1,10,2733,TRUE,TRUE,2
10_1818_1,2.84955892489601,0.88802067724821,0.0203944660213067,2.48403327167745,0.520439778368582,0.187168381506275,1.48031665022849,0.648833656970456,0.018759512457419,2.63020381875382,0.899265627378351,0.250171003405446,0.629774905349377,0.375823068720432,0.00233790925733954,1.42459645522581,0.452320397115177,0.519579244818656,1505458.43463629,0,0.172565440840809,0.114345415683541,0.0443058481948702,0.208408126502524,7220864.474564,0,0.0319259166717529,321.554203033447,1,1818,1,10,3635,TRUE,TRUE,3
10_1976_1,2.92519826446466,0.960486492074736,0.176306672213677,2.17663771292665,0.645421714841831,0.0913717015154437,0.781646748114349,0.891787318760241,0.154976986757394,2.96257866189372,0.467414070019993,0.198273806522971,0.520307072780631,0.856190580076437,0.0278707074942178,2.33037029900178,0.697983411367204,0.398025543395982,305564.092300805,0,0.139040759982831,0.174973675503753,0.379566064997708,0.0422210518112607,7220864.474564,0,0.0327000617980957,349.73640203476,1,1976,1,10,3951,TRUE,TRUE,3
10_2346_1,2.87883845071145,0.968153261686828,0.0693860575291559,2.11139155873863,0.810826835482464,0.255700639961549,0.870950689926582,0.73612105351844,0.163774394939096,2.9403751304559,0.334045690837796,0.337277494055656,0.706625222963034,0.456248319092392,0.00401050266230027,1.6723263665966,0.738931180083686,0.485044228628411,733940.270941759,0,0.159556643754715,0.118792731817004,0.182964244401055,0.101551762427994,7220864.474564,0,0.024838924407959,417.155916929245,1,2346,1,10,4691,TRUE,TRUE,3
10_2391_1,2.87883845071145,0.968153261686828,0.0693860575291559,2.11139155873863,0.810826835482464,0.255700639961549,0.870950689926582,0.73612105351844,0.163774394939096,2.9403751304559,0.334045690837796,0.224753002581163,0.7071071525062,0.456248319092392,0.00401050266230027,1.6723263665966,0.738931180083686,0.485044228628411,733940.270941759,0,0.15954138172096,0.119085341558758,0.183120540379837,0.101551762427994,7220864.474564,0,0.0399339199066162,426.474056005478,1,2391,1,10,4781,TRUE,TRUE,3
1_1111_1,2.68803147639068,0.905662587825551,0.122379534990836,0.715210790245848,0.766599313999084,0.206224365961254,0.76566055953378,0.774935190469217,0.210315031647204,2.48097743900506,0.964069276709818,0.0172180057295248,0.595604048253631,0.397912049437887,0.0104113679340694,1.59200966006925,0.529572567340155,0.323007475480372,351368.607760927,0,0.141467426361663,0.164892040382444,0.357720318422933,0.0485650424139268,7220864.474564,0,0.0228579044342041,167.418271064758,1,1111,1,1,2221,TRUE,TRUE,3
1_1159_1,2.65887734298274,0.909269372025605,0.0768297631571359,0.801751161308351,0.714997980198079,0.254855863574839,1.29143470456649,0.337702203438743,0.260261936860728,2.84019298820476,0.942852027646021,0.0632137696222012,1.25705482639972,0.403610296030005,0.141537088836147,0.601665996412051,0.387507993590167,0.352936780669531,1692.52445705799,0,0.104583747699801,0.197462127000909,0.645630574033666,0.00013440704593289,7220864.474564,0,0.0156950950622559,174.106067180634,1,1159,0,1,2317,TRUE,TRUE,3
1_1164_2,2.38767878338968,0.9537605260266,0.0531410443929827,0.952157373810685,0.668499445631784,0.144021157811589,1.62725033247152,0.342069700196701,0.297151009382609,2.36461337905485,0.602362646243896,0.0600903676331964,0.614207228523952,0.468506106290758,0.0148034279695006,1.39245429735904,0.908706174644095,0.382428689988936,320003.005418927,0,0.139611007179504,0.171753236247541,0.37446646351718,0.0442208618346595,7220864.474564,0,0.0318078994750977,174.861941099167,2,1164,1,1,2328,TRUE,TRUE,2
1_1210_2,2.62072478940006,0.948313688044513,0.0140593923295617,1.90886278441188,0.761461800029895,0.294210076601343,1.35835689387044,0.488227424095346,0.0229602502882549,2.3812482060102,0.981551352926765,0.0103434328052145,0.85597894002877,0.982228633674092,0.187606536682916,0.706247640543136,0.931653247893576,0.341224028641337,12603.455138638,0,0.105048332282021,0.193743062737865,0.642475203389897,0.00164558647911665,7220864.474564,0,0.0266988277435303,181.402286052704,2,1210,0,1,2420,TRUE,TRUE,2
1_1234_1,2.65887734298274,0.909269372025605,0.0768297631571358,0.801751161308351,0.815323915162495,0.126411769683851,0.653771322944429,0.673007151852534,0.208680160792518,2.90203178582313,0.989577141793317,0.0668845922545469,1.25006167586549,0.403610296030005,0.141537088836147,0.601665996412051,0.387507993590167,0.352936780669531,1692.52445705745,0,0.104531673424817,0.197654290064057,0.645983380987983,0.000134407045932816,7220864.474564,0,0.0342631340026855,184.728519201279,1,1234,0,1,2467,TRUE,TRUE,2
1_1254_2,2.38767878338968,0.9537605260266,0.0531410443929827,0.952157373810685,0.668499445631784,0.144021157811589,1.62725033247152,0.342069700196701,0.297151009382609,2.77752402094822,0.594047804166562,0.108661935671469,0.578059605017805,0.634801853476609,0.0104540862726677,1.7017629846099,0.95509873102552,0.382428689988936,320003.005418927,0,0.139706759607393,0.172013541213305,0.373608122959956,0.0442208618346595,7220864.474564,0,0.0214710235595703,187.551156044006,2,1254,1,1,2508,TRUE,TRUE,3
1_1270_2,2.62072478940006,0.948313688044513,0.0140593923295617,1.90886278441188,0.761461800029895,0.294210076601343,1.35835689387044,0.488227424095346,0.0229602502882549,2.3812482060102,0.981551352926765,0.0526397022588039,0.85597894002877,0.982228633674092,0.187606536682916,0.706247640543136,0.931653247893576,0.341224028641337,12603.455138638,0,0.105090892139902,0.194015750152763,0.64218544558813,0.00164558647911665,7220864.474564,0,0.0351598262786865,189.780554056168,2,1270,0,1,2540,TRUE,TRUE,3
1_1279_1,2.54179844294544,0.900492180595076,0.195368830038294,0.661010627159624,0.63612935122304,0.1972428089585,0.945361961451122,0.673007151852534,0.208680160792518,2.90203178582313,0.989577141793317,0.0668845922545469,1.25006167586549,0.403610296030005,0.141537088836147,0.601665996412051,0.387507993590167,0.35293678066953,1692.52445705745,0,0.10437724236078,0.214555421621322,0.647028629319646,0.000134407045932816,7220864.474564,0,0.0200490951538086,191.051148176193,1,1279,0,1,2557,TRUE,TRUE,2
