solID,dieci_costo_alphas,dieci_costo_gammas,dieci_costo_thetas,Google.Search_alphas,Google.Search_gammas,Google.Search_thetas,programmatic_behavioural_investments_alphas,programmatic_behavioural_investments_gammas,programmatic_behavioural_investments_thetas,programmatic_sociodemo_investments_alphas,programmatic_sociodemo_investments_gammas,programmatic_sociodemo_investments_thetas,reservation_social_display_investments_alphas,reservation_social_display_investments_gammas,reservation_social_display_investments_thetas,reservation_social_video_investments_alphas,reservation_social_video_investments_gammas,reservation_social_video_investments_thetas,venti_costo_alphas,venti_costo_gammas,venti_costo_thetas,lambda,mape,nrmse,decomp.rssd,rsq_train,lambda_hp,lambda_max,pos,Elapsed,ElapsedAccum,iterPar,iterNG,df.int,trial,iterations,coef0,mape.qt10,robynPareto
1_636_2,0.660341702850834,0.89007311774929,0.166956213666394,2.62885614128914,0.960884316604583,0.0182922259515463,2.53844925149672,0.850598008428046,0.358097610385343,1.8418393690786,0.478158951402046,0.349662571818822,1.97328432767638,0.92743140773499,0.0897248051258123,2.10986898549742,0.743292542172082,0.322090390478312,2.63841527833086,0.324137149826894,0.294320826107465,334786.579710822,0,0.114222302408617,0.22140942519542,0.573155018715824,0.0463318799003446,7210993.61728321,0,0.0449330806732178,175.858258008957,2,636,0,1,1272,TRUE,TRUE,3
1_651_2,0.660341702850834,0.89007311774929,0.166956213666394,2.62885614128914,0.960884316604583,0.0522117310262401,2.57270436024569,0.873781605090036,0.397574005577869,2.59622718512688,0.339796170032586,0.384890681938106,1.23629525419317,0.92743140773499,0.0897248051258123,2.10986898549742,0.743292542172082,0.322090390478312,2.63841527833086,0.324137149826894,0.294320826107465,334786.579710822,0,0.114344771348132,0.216888338871483,0.572239203226096,0.0463318799003446,7210993.61728321,0,0.0579578876495361,179.844435930252,2,651,0,1,1302,TRUE,TRUE,1
1_682_2,0.800074701626272,0.894678749540505,0.185661678162729,1.30358120184104,0.943855163988687,0.00957141793401043,2.19872902827309,0.566374200643455,0.34838064050005,2.70635504276335,0.34419753353976,0.296223033718738,1.8708561826733,0.78379534639531,0.152695678421086,0.966608938173425,0.57353160239615,0.214180800039666,0.844516066665541,0.400307043113826,0.393889687649733,13514.4683818447,0,0.105155133817124,0.221504185191732,0.6382326904549,0.00177432530994048,7210993.61728321,0,0.0362701416015625,188.52651309967,2,682,0,1,1364,TRUE,TRUE,1
1_749_1,0.698336497300819,0.872900347663234,0.231158166855012,2.85613278415833,0.901638918424549,0.0294566200044626,2.98126759818441,0.902401568484398,0.36690019852758,2.57667271159424,0.328533920549492,0.321812580551368,2.88230679661342,0.942927233269591,0.0935049987656344,1.71521112406981,0.818708255327808,0.202231138351816,1.88996062697744,0.315047138380962,0.320615135096178,116191.55511646,0,0.106230570285268,0.223640820004903,0.630795160437929,0.016014714487937,7210993.61728321,0,0.037938117980957,205.880033016205,1,749,0,1,1497,TRUE,TRUE,3
1_858_1,1.05974127127214,0.945142691498393,0.182095672049355,2.97290720112282,0.986142787067985,0.0119954941612825,2.70863107496951,0.743087009778356,0.302693728247909,1.06093779107531,0.606830625910907,0.263677431381375,2.38860852034078,0.812941353681777,0.108638979748313,0.6950182683728,0.52406381014428,0.159303711017269,2.76115631976713,0.403104571095799,0.327214930343983,274407.43672465,0,0.1124692439981,0.221434962572724,0.586156716622833,0.0379578353914725,7210993.61728321,0,0.0386199951171875,233.363433122635,1,858,0,1,1715,TRUE,TRUE,2
1_899_1,0.53569341332143,0.893254242467905,0.207498416803079,2.48903918968023,0.917562643805766,0.0270617377052744,1.87377044307959,0.877152863451587,0.16783594571493,2.01858774816111,0.406934477315365,0.371512179104561,1.84616874995685,0.811275428811235,0.027847382464319,1.36098166881493,0.674104901130985,0.186352986610143,2.01830709989649,0.399064348875781,0.314768582187569,338710.640694437,0,0.138460563827768,0.198485162696199,0.37875259014092,0.0468761118934991,7210993.61728321,0,0.0400819778442383,244.097289085388,1,899,1,1,1797,TRUE,TRUE,3
2_470_2,0.547713572760699,0.943851025443432,0.306949179944872,2.68104457559381,0.740560581002135,0.0240260286555889,2.54094144127406,0.77670239882931,0.0593408298656992,0.806648922826452,0.571658262488986,0.2997509794684,1.62941912735203,0.571320727372011,0.180349982259022,0.50241793379032,0.322706645383833,0.0464706550454514,2.16570607234108,0.395789453175655,0.0500742576283208,494349.778468554,0,0.147053679732218,0.167968580293312,0.299248248053699,0.0684618615842726,7210993.61728321,0,0.105230093002319,246.388101100922,2,470,1,2,940,TRUE,TRUE,3
2_498_1,0.75316935190546,0.885195855431853,0.326424636891726,2.77575256162166,0.880011217591868,0.0251564792803027,2.39261434210386,0.626792505226345,0.147105810320606,2.15468722525307,0.309445643406067,0.174028626512514,0.771778263705537,0.30009110782542,0.206155621868734,0.633893030588085,0.527793187910468,0.0260639003492828,2.23160365474135,0.538187078752056,0.0910701042063429,561771.11821936,0,0.150808583729905,0.151088260416501,0.263005032440781,0.0778125954966493,7210993.61728321,0,0.106815814971924,261.074393987656,1,498,1,2,995,TRUE,TRUE,1
2_513_1,0.75316935190546,0.885195855431853,0.326424636891726,2.77575256162166,0.936852683040982,0.0424181164994591,2.48572528815049,0.609084170407486,0.231697892035139,1.68597987221863,0.339616504404267,0.253143728313161,0.771778263705537,0.30009110782542,0.206155621868734,0.633893030588085,0.527793187910468,0.0260639003492828,2.23160365474135,0.538187078752056,0.0910701042063429,561771.11821936,0,0.150810236032747,0.149793622926762,0.26298888288854,0.0778125954966493,7210993.61728321,0,0.103688955307007,268.922525167465,1,513,1,2,1025,TRUE,TRUE,1
2_528_1,0.75316935190546,0.885195855431853,0.326424636891726,2.77575256162166,0.936852683040982,0.0424181164994591,1.59224400037799,0.759579501934935,0.305323322568833,1.68597987221863,0.339616504404267,0.253143728313161,0.771778263705537,0.30009110782542,0.206155621868734,0.633893030588085,0.527793187910468,0.0260639003492828,2.23160365474135,0.538187078752056,0.0910701042063429,561771.11821936,0,0.150810236032747,0.149793622926762,0.26298888288854,0.0778125954966493,7210993.61728321,0,0.102890014648438,277.105177164078,1,528,1,2,1055,TRUE,TRUE,1
