solID,programmatic_behavioural_investments_alphas,programmatic_behavioural_investments_gammas,programmatic_behavioural_investments_thetas,programmatic_sociodemo_investments_alphas,programmatic_sociodemo_investments_gammas,programmatic_sociodemo_investments_thetas,reservation_social_display_investments_alphas,reservation_social_display_investments_gammas,reservation_social_display_investments_thetas,reservation_social_video_investments_alphas,reservation_social_video_investments_gammas,reservation_social_video_investments_thetas,TV.settimanale_alphas,TV.settimanale_gammas,TV.settimanale_thetas,lambda,mape,nrmse,decomp.rssd,rsq_train,lambda_hp,lambda_max,pos,Elapsed,ElapsedAccum,iterPar,iterNG,df.int,trial,iterations,coef0,mape.qt10,robynPareto
1_346_2,2.0468812892936,0.527232959000719,0.11920431689686,0.666852320530756,0.627250809035239,0.22388438321801,2.87382096724101,0.644580046509969,0.0616044025742075,1.91499884239001,0.525715760138448,0.309452181194632,1.01060519258175,0.613205783442107,0.391921581343676,102234.569296534,0,0.123972001417951,0.625934956843216,0.533547698154798,0.0121979056370119,8313993.751907,0,0.0440020561218262,71.5057280063629,2,346,0,1,692,FALSE,TRUE,3
1_584_2,2.16391221424986,0.855794085508973,0.285079863246989,0.742037285605201,0.917215836784855,0.0963355947430951,2.43520287130478,0.574917174291331,0.321400923245676,1.68037825105243,0.852836241979728,0.102261200889713,0.951351061822338,0.713621497938801,0.341261413947183,56000.4503706211,0,0.120641550522193,0.929705944049888,0.558273111700949,0.00663634952090505,8313993.751907,0,0.0431218147277832,128.329999923706,2,584,0,1,1168,FALSE,TRUE,2
1_631_1,2.99377055574441,0.928966443291895,5.03877555368959e-05,2.38800474225798,0.502810559614259,0.145924307004521,1.37851409024452,0.839919156807079,0.168769613557288,1.34692044629524,0.42108113671233,0.322342255287091,1.55818583400728,0.457483020319632,0.567216801211241,674119.016167947,0,0.160943698537701,0.191216720103718,0.21760688693186,0.0809905530820895,8313993.751907,0,0.0510029792785645,140.352714061737,1,631,1,1,1261,FALSE,TRUE,3
1_669_1,2.55661933261451,0.847555316811735,0.0722571428552197,0.599969173559633,0.883204221982533,0.22565224706571,1.87298427116633,0.476314039987367,0.0689384232453956,1.99157916985241,0.695970200201063,0.173680769616164,1.0706271704004,0.629369777240169,0.455428881001532,263111.346247417,0,0.132985577787885,0.322305904090602,0.463253644208642,0.0315499608632505,8313993.751907,0,0.0590000152587891,152.977720975876,1,669,0,1,1337,FALSE,TRUE,1
1_678_1,2.26865568781711,0.428223410131919,0.331744926073049,0.612583809313395,0.355882820531898,0.246319807019727,2.24701444469685,0.79405689820591,0.262604426631221,2.5081702520562,0.428547450737525,0.0989089961261472,0.977931064116852,0.752168380041593,0.303230799638734,45729.9996570404,0,0.119903397304158,0.93328177434799,0.563662044559761,0.00540090501999827,8313993.751907,0,0.0539929866790772,155.564983129501,1,678,0,1,1355,FALSE,TRUE,1
1_684_1,2.55661933261451,0.847555316811735,0.0722571428552197,0.599969173559633,0.883204221982533,0.22565224706571,1.86065147864743,0.462319114164081,0.0689384232453956,1.99157916985241,0.695970200201063,0.173680769616164,1.0706271704004,0.629369777240169,0.455428881001532,263111.346247417,0,0.132982447852627,0.32274201322232,0.463278909528414,0.0315499608632505,8313993.751907,0,0.0479910373687744,157.383082151413,1,684,0,1,1367,FALSE,TRUE,1
1_693_1,2.26865568781711,0.428223410131919,0.331744926073049,0.612583809313395,0.355882820531898,0.246319807019727,2.24701444469685,0.79405689820591,0.262604426631221,2.5081702520562,0.516856633476393,0.274973839644049,1.76236285812105,0.752168380041593,0.303230799638734,45729.9996570404,0,0.119566411686975,1.22529086777708,0.566111232703927,0.00540090501999827,8313993.751907,0,0.0430009365081787,159.704149007797,1,693,0,1,1385,FALSE,TRUE,3
1_699_1,2.55661933261451,0.847555316811735,0.0722571428552197,0.599969173559633,0.883204221982533,0.22565224706571,1.87298427116633,0.476314039987367,0.0689384232453956,1.99157916985241,0.880264954561389,0.173680769616164,1.0706271704004,0.629369777240169,0.455428881001532,263111.346247417,0,0.132994420753664,0.3214025024076,0.463182259212707,0.0315499608632505,8313993.751907,0,0.0410780906677246,161.306307077408,1,699,0,1,1397,FALSE,TRUE,1
1_706_1,2.60790917854686,0.882622030900079,0.249558606647847,0.725314060588969,0.313314636781788,0.226888594301305,2.08663502266741,0.982721859641239,0.228311036590627,2.89518480632396,0.31488607175455,0.217039138569071,0.641691522860219,0.841502952621864,0.382654419941283,69639.1563322129,0,0.121473146163291,0.690252941727034,0.552162377800864,0.00827696537600597,8313993.751907,0,0.0480000972747803,163.350458145142,1,706,0,1,1411,FALSE,TRUE,1
1_764_2,2.77423541522309,0.889354876694133,0.0858384740265562,1.32043291278911,0.5808200534124,0.306580030467765,1.73734039672048,0.337929229870304,0.135706185732609,1.27652011417811,0.823162312317166,0.127721596278743,0.979697857576453,0.579465135116355,0.496850504474749,319231.266804138,0,0.135659019982825,0.284783481499781,0.441456031830072,0.0383006915932511,8313993.751907,0,0.0429980754852295,178.894971132278,2,764,0,1,1528,FALSE,TRUE,1
