solID,mape,decomp.rssd,nrmse,Google.Search,programmatic_sociodemo_investments,programmatic_behavioural_investments,reservation_social_video_investments,reservation_social_display_investments,DT_costo,PTcosto,cluster,top_sol
1_1000_1,0,0.389209823582398,0.12203142569957,0.350012851487788,0.754595316788668,0,0,0.787033870228996,0.997357814855675,0.217000778050005,2,FALSE
1_354_1,0,0.313128926618567,0.152891028514942,0.133234239851667,0.340731730146243,0,0.978438746558884,0.389181813586185,0.566938466796005,0.0452097027043637,1,FALSE
1_434_1,0,0.590612992778595,0.107529052114917,0.553649583264986,0,0,0,0.849612116777709,0,0.31570378952143,4,FALSE
1_479_1,0,0.588144932019777,0.107676538478319,0.482142395301956,0,0,0,0.857090224822818,0,0.354510515853956,4,FALSE
1_494_1,0,0.587551510428755,0.107681278558772,0.478106893903474,0.046553548568401,0,0,0.846848618121472,0,0.212596726980635,4,FALSE
1_509_1,0,0.591814819176293,0.10759260312579,0.526904743620939,0,0,0,0.862207096538783,0,0.254357978690782,4,FALSE
1_524_1,0,0.598333720504717,0.107504796749507,0.599464166641283,0.0679955967882712,0,0,0.833137934325527,0.00494523524323048,0.230738626072018,4,FALSE
1_554_1,0,0.59181481917629,0.10759260312579,0.526904743620936,0,0,0,0.862207096538789,0,0.254357978690803,4,FALSE
1_569_1,0,0.607030953255482,0.107421783639341,0.628660932282222,0,0,0,0.837939584469183,0,0.244522890009966,4,FALSE
1_577_1,0,0.442534779042153,0.11732641729035,0.453803090569977,0.433097565045328,0,0,0.817112895287765,0.785382299020361,0.162999083537217,2,FALSE
1_607_1,0,0.458651428490453,0.116821170266602,0.484934717773354,0.46637176377958,0,0,0.814454375474464,0.658852144424893,0.187224570169409,2,FALSE
1_764_2,0,0.293343234913586,0.157388147252946,0.109823764805325,0.419809378457995,0,0.887776190996143,0.272549620298182,0.521209602856193,0.0548942403453792,1,FALSE
1_788_2,0,0.288592695815714,0.159387121921913,0.0704218689481794,0.412607316827722,0,0.702775958403601,0.208788683401364,0.542955908947872,0.0275734899551214,1,FALSE
1_815_1,0,0.257078820632919,0.168537287311928,0.0659202521972426,0.249002306727848,0,1,0.188383733792904,0.473344999629163,0.0425780213365429,1,FALSE
1_877_2,0,0.278663849434435,0.165024921006339,0.0759307800233032,0.243277638406344,0,0.626832463798018,0.178436795517218,0.445985832292812,0.0386749803797828,3,TRUE
1_881_1,0,0.260216158683062,0.162400793629542,0.0713842711549712,0.251534314948574,0,0.949109920614384,0.249812860467796,0.565952683362638,0.059311736459229,1,FALSE
1_887_2,0,0.714735691376902,0.107176041586912,0.637838828415944,0,0,0,0.875532972815666,0,0.0588451603493355,4,FALSE
1_895_1,0,0.403780079064648,0.122374162157359,0.318101815272251,0.331539422636559,0,0,0.813781691087169,0.934358866013141,0.225961700786494,2,FALSE
1_910_1,0,0.402590604319366,0.122374777532431,0.318514892420833,0.332598828524157,0,0,0.813564085682288,0.935736675024448,0.217048369183844,2,FALSE
1_925_1,0,0.400361942588359,0.122224938342529,0.320304885404023,0.330992579528394,0,0,0.81983493816853,0.965805890079904,0.217351808096121,2,FALSE
1_940_1,0,0.377864539761965,0.122163088241127,0.285429174262616,0.829671687793603,0,0,0.751930810727627,1,0.212519513661939,2,FALSE
1_963_1,0,0.530000128816596,0.108648337065481,0.591181043986716,0.0196342490732898,0,0,1,0.588781494832922,0.15574625023393,4,FALSE
1_970_1,0,0.405976176187777,0.122136607831982,0.369598280714698,0.343970972358597,0,0,0.817593603436396,0.978124948131735,0.205433750287437,2,FALSE
1_978_1,0,0.515671348479578,0.108910471721029,0.57847707741055,0.0959064194468793,0,0,0.910473718083507,0.581923718801019,0.1724847453057,4,FALSE
1_986_2,0,0.277460278094918,0.159417740662531,0.123411125798693,0.433519114182426,0,0.981521954115145,0.240181811160522,0.624880353429039,0.0646110446363253,1,FALSE
1_989_1,0,0.472217923128671,0.114910050045745,0.421080807860697,0.561782915276017,0,0,0.838880871202311,0.461888479340091,0.153397946756291,2,FALSE
1_993_1,0,0.617732250537316,0.106754654550731,0.595427644560489,0,0,0,0.914205821238744,0,0.182989818048136,4,FALSE
1_993_2,0,0.753283592903797,0.107114951383988,0.587912902191393,0,0,0,0.882734474244904,0,0.0207095152350913,4,FALSE
2_524_2,0,0.27820968942774,0.158157114721798,0.0966867225131023,0.269548321571936,0,0.964343232288006,0.296535967615599,0.56722181810955,0.0516550627946365,1,FALSE
2_554_2,0,0.29110488911585,0.158194836407313,0.10331124623875,0.131366609844964,0,0.903581423606245,0.305913545436058,0.578098380050513,0.0440156154507417,1,FALSE
2_569_2,0,0.280099288603661,0.157843884083426,0.0918404053700134,0.393278031267117,0,0.953183439032316,0.286037450020856,0.550366566686092,0.0574749923912351,1,FALSE
2_733_2,0,0.268996381450907,0.167399010232852,0.0756539557142443,0.296840511985651,0,0.904241056106893,0.145199986933346,0.453411422848558,0.0261589670549252,1,FALSE
2_763_2,0,0.267362717041986,0.16800898198373,0.0733254741464355,0.219787165921038,0,0.781826401152491,0.138807654937453,0.443454776383606,0.0240302675621202,3,FALSE
2_765_1,0,0.306976661801455,0.152926502475214,0.0964017770176049,0.463580681259786,0,0.69832032837516,0.28363407928112,0.483077718163747,0.0704910236992208,1,FALSE
2_780_1,0,0.304892522430675,0.152912728372149,0.0966190186811047,0.464109006237173,0,0.691224338569303,0.28393209279434,0.499496218871153,0.0702446696125056,1,FALSE
2_782_1,0,0.701590267277015,0.107130187868421,0.611152123192463,0,0,0,0.848585800504462,0,0.0668838395686087,4,FALSE
2_791_1,0,0.577283259264667,0.108999201933768,0.468916498072467,0.237990115305104,0,0,0.81712911546807,0.467025026580124,0.0286020711162713,4,FALSE
2_793_2,0,0.276196810071411,0.167325965956073,0.0746096385814075,0.358158618635558,0,0.923366714787759,0.142322096981903,0.457935414931436,0.023392526182227,1,FALSE
2_797_1,0,0.703927520830638,0.107220874177214,0.615668906515297,0,0,0,0.889942215632524,0,0.0639583704551497,4,FALSE
2_815_2,0,0.256714842512419,0.17498945074798,0.0399210814919787,0.19907079693623,0,0.608308134216773,0.0550966614417737,0.291719087116074,0.0192469651256213,3,FALSE
