solID,DT_costo_alphas,DT_costo_gammas,DT_costo_thetas,Google.Search_alphas,Google.Search_gammas,Google.Search_thetas,programmatic_behavioural_investments_alphas,programmatic_behavioural_investments_gammas,programmatic_behavioural_investments_thetas,programmatic_sociodemo_investments_alphas,programmatic_sociodemo_investments_gammas,programmatic_sociodemo_investments_thetas,PTcosto_alphas,PTcosto_gammas,PTcosto_thetas,reservation_social_display_investments_alphas,reservation_social_display_investments_gammas,reservation_social_display_investments_thetas,reservation_social_video_investments_alphas,reservation_social_video_investments_gammas,reservation_social_video_investments_thetas,lambda,mape,nrmse,decomp.rssd,rsq_train,lambda_hp,lambda_max,pos,Elapsed,ElapsedAccum,iterPar,iterNG,df.int,trial,iterations,coef0,mape.qt10,robynPareto
1_1000_1,1.99133451220217,0.532865018897122,0.344979515831815,2.94667525356412,0.857936140198155,0.0610967851781271,1.78968247267221,0.657576498853268,0.371015002374279,0.539617464139151,0.417178534598104,0.117742662290174,1.72405825103545,0.544897607282265,0.969501289874258,0.812760871467378,0.363022158716246,0.264260761617725,0.791381035840468,0.335458683557886,0.097112007740105,368360.395673573,0,0.12203142569957,0.389209823582398,0.512795007851161,0.0509882664487451,7210993.61728321,0,0.0280351638793945,144.295519828796,1,1000,0,1,1999,TRUE,TRUE,1
1_354_1,1.7871710452909,0.359975146943486,0.54730546295721,2.97221793526191,0.886511958021571,0.0767003306485839,1.90746645734291,0.97461776393243,0.22724980932541,1.98674674631731,0.394599153220895,0.0131348540738622,2.57411723570065,0.414969233512095,0.511916024566582,0.87386615572852,0.460253850348065,0.0530832510182927,0.649700455065214,0.563398135070992,0.00143442466955518,466160.933113372,0,0.152891028514942,0.313128926618567,0.242510871987879,0.0645523220647721,7210993.61728321,0,0.0249857902526855,50.2887728214264,1,354,1,1,707,TRUE,TRUE,3
1_434_1,2.8804407648954,0.322517430924686,0.389876624424015,2.98621494910858,0.990792234954375,0.105547454890554,2.28867607821207,0.693012300584226,0.163282666466046,2.12806346819852,0.491313423989334,0.185115212541409,1.13981192265488,0.415094787978847,0.96293499830206,1.54837198293111,0.675911959296864,0.194211341652687,2.32692843863858,0.516351448846514,0.126645407462768,36851.1248086822,0,0.107529052114917,0.590612992778595,0.621714239185466,0.00501090983137612,7210993.61728321,0,0.0282680988311768,61.0461339950562,1,434,0,1,867,TRUE,TRUE,1
1_479_1,2.8804407648954,0.322517430924686,0.389876624424015,2.92443113516253,0.953520779427831,0.00323890099764578,1.75315942252834,0.664140864122985,0.000392454867260295,2.84547693059206,0.33445844624455,0.222109404893646,1.0135836402353,0.415094787978847,0.96293499830206,1.54837198293111,0.675911959296864,0.194211341652687,2.32692843863858,0.516351448846514,0.126645407462768,36851.1248086822,0,0.107676538478319,0.588144932019777,0.620675817435934,0.00501090983137612,7210993.61728321,0,0.0269958972930908,67.2470059394837,1,479,0,1,957,TRUE,TRUE,1
1_494_1,2.8804407648954,0.322517430924686,0.389876624424015,2.92443113516253,0.953520779427831,0.00323890099764578,1.75315942252834,0.664140864122985,0.000392454867260295,2.84547693059206,0.33445844624455,0.275215521352759,2.12514577634897,0.415094787978847,0.96293499830206,1.54837198293111,0.675911959296864,0.194211341652687,2.32692843863858,0.516351448846514,0.126645407462768,36851.1248086822,0,0.107681278558772,0.587551510428755,0.620642419877948,0.00501090983137612,7210993.61728321,0,0.0259981155395508,69.3548400402069,1,494,0,1,987,TRUE,TRUE,1
1_509_1,2.8804407648954,0.322517430924686,0.414191861701745,2.91087225702071,0.984807614710008,0.0533805750075101,2.08298062619547,0.58612008767936,0.0841678362128652,2.87801127550209,0.371033509721138,0.304425725681415,2.21192949414767,0.334551233866489,0.96293499830206,1.54837198293111,0.675911959296864,0.194211341652687,2.32692843863858,0.516351448846514,0.126645407462768,36851.1248086822,0,0.10759260312579,0.591814819176293,0.621266963846818,0.00501090983137612,7210993.61728321,0,0.0279970169067383,71.5039558410645,1,509,0,1,1017,TRUE,TRUE,2
1_524_1,2.21124726088996,0.665805488752213,0.35671908251046,2.79246259177869,0.928257835185605,0.0730178627606921,1.67418241492428,0.746929287953073,0.104959188197104,2.49878852556678,0.305675053971521,0.304425725681415,2.21192949414767,0.334551233866489,0.96293499830206,1.54837198293111,0.675911959296864,0.194211341652687,2.32692843863858,0.516351448846514,0.126645407462768,36851.1248086822,0,0.107504796749507,0.598333720504717,0.621884880036877,0.00501090983137612,7210993.61728321,0,0.0316669940948486,73.6102709770203,1,524,0,1,1047,TRUE,TRUE,1
1_554_1,2.8804407648954,0.322517430924686,0.414191861701745,2.91087225702071,0.984807614710008,0.0533805750075101,1.19000532069851,0.630601955030205,0.154822167619622,2.87801127550209,0.371033509721137,0.304425725681415,2.21192949414767,0.334551233866489,0.96293499830206,1.54837198293111,0.675911959296864,0.194211341652687,2.32692843863858,0.516351448846514,0.126645407462768,36851.1248086822,0,0.10759260312579,0.59181481917629,0.621266963846818,0.00501090983137612,7210993.61728321,0,0.028965950012207,77.8902168273926,1,554,0,1,1107,TRUE,TRUE,2
1_569_1,2.8804407648954,0.322517430924686,0.414191861701745,2.91087225702071,0.952326537141894,0.129370510391772,2.36083476530278,0.846910175527943,0.0841678362128652,2.87801127550209,0.371033509721137,0.304425725681415,2.21192949414767,0.334551233866489,0.96293499830206,1.54837198293111,0.675911959296864,0.194211341652687,2.32692843863858,0.516351448846514,0.126645407462768,36851.1248086822,0,0.107421783639341,0.607030953255482,0.622468600842996,0.00501090983137612,7210993.61728321,0,0.0303678512573242,80.0470628738403,1,569,0,1,1137,TRUE,TRUE,2
1_577_1,1.60098024137132,0.480620466105288,0.306050082271982,2.90714037970658,0.992859885487135,0.17626733230954,1.53449671466602,0.649170286047797,0.0232270396526347,1.87205604088086,0.386028348773689,0.239533665162436,0.83388720201829,0.517335462336936,0.95678800067199,2.06206407353666,0.916387718613431,0.133994570713013,1.82886107952738,0.494948924288948,0.2262101638199,278943.722460197,0,0.11732641729035,0.442534779042153,0.549639826710851,0.0385869774556971,7210993.61728321,0,0.0294840335845947,81.208065032959,1,577,0,1,1153,TRUE,TRUE,2
1_607_1,0.930294337800044,0.797355877412269,0.392283846354285,2.79206495985362,0.992859885487135,0.17626733230954,1.53449671466602,0.649170286047797,0.0232270396526347,1.87205604088086,0.324420164032908,0.186262133117567,0.660069850040233,0.768920435991328,0.95706697781486,2.26392603237792,0.832298100712251,0.0333940842854153,1.8672347734652,0.875268424565235,0.364752381335995,271856.093834341,0,0.116821170266602,0.458651428490453,0.553510279823859,0.0376039870613342,7210993.61728321,0,0.0289990901947022,85.6853199005127,1,607,0,1,1213,TRUE,TRUE,2
1_764_2,1.12698859818716,0.682918981014409,0.356096167866337,2.79509088800714,0.962549838670908,0.0614409489408031,1.17274765770903,0.812917764261383,0.0856308236143629,2.09076742896005,0.321369815866178,0.113542231797626,2.46553865476123,0.574457671834194,0.293640333204645,2.64978324304464,0.635250053587321,0.0313883348562572,0.655436252117811,0.308640923064353,0.0412015635372599,596515.404031612,0,0.157388147252946,0.293343234913586,0.197294117897302,0.0826313156942415,7210993.61728321,0,0.0349998474121094,109.709555864334,2,764,1,1,1528,TRUE,TRUE,3
1_788_2,2.20000026612947,0.384946669316244,0.459977993656908,2.98646421509001,0.939762316910106,0.00156423307182039,1.27914494806393,0.932004324695506,0.188689230488114,1.49219285194287,0.365154173911845,0.0585302723644977,1.58588090125771,0.331194203790508,0.383598657995657,2.91385138630873,0.791211365748417,0.264640188044361,0.566244508678323,0.378878479245846,0.0876006991005128,642585.114234481,0,0.159387121921913,0.288592695815714,0.176774420172907,0.0890207704739826,7210993.61728321,0,0.0253641605377197,113.278450012207,2,788,1,1,1576,TRUE,TRUE,3
1_815_1,2.91751597817717,0.43350073197269,0.334266866310384,2.95153357904363,0.947180010644559,0.0992372493184929,2.92075236910839,0.473477462021993,0.310844455338913,1.70773655908566,0.55356686354975,0.333359594555669,2.02765558501396,0.413854143493144,0.978221870373958,0.594747991937943,0.478966022843377,0.15506877434541,0.798531373470891,0.314468330572318,0.0102976494845198,1012891.3719101,0,0.168537287311928,0.257078820632919,0.0795411061005161,0.14037892049608,7210993.61728321,0,0.0287070274353027,117.389174938202,1,815,1,1,1629,TRUE,TRUE,1
