solID,mape,decomp.rssd,nrmse,Google.Search,programmatic_sociodemo_investments,programmatic_behavioural_investments,reservation_social_video_investments,reservation_social_display_investments,DIG_costo,GEN_costo,cluster,top_sol
1_534_2,0,0.261512342437884,0.177213001770369,0.0133761423603992,0.17590299941667,0,0.506413002212557,0.0468409373397701,0.201221030761466,0.0647322070039261,2,FALSE
1_572_2,0,0.47806736801547,0.115422647882584,0.356898130840473,0.708942542264635,0,0,0.839397228723447,0.56290595680866,0.170978683965303,5,FALSE
1_579_2,0,0.261512342437884,0.177213001770369,0.0133761423603992,0.17590299941667,0,0.506413002212557,0.0468409373397701,0.201221030761466,0.0647322070039261,2,FALSE
1_629_1,0,0.657874461451616,0.108155842491467,0.540849082991265,0.444657525162173,0,0,0.927342123054793,0.0753018067081062,0.104402037212933,3,FALSE
1_654_1,0,0.605301079119159,0.10912169576224,0.454769911914558,0.424054500788588,0,0,0.976758015143318,0,0.177548421173965,3,FALSE
1_703_2,0,0.439334365558596,0.12035707592697,0.310514164809618,0.876682439316225,0,0,0.784478647770662,0.66498477548908,0.195199298983814,5,FALSE
1_715_1,0,0.642174824050929,0.108328795229572,0.497287810424681,0.469365830845153,0,0,0.834864392711901,0,0.132310696591937,3,FALSE
1_736_2,0,0.554510304529853,0.110742564979124,0.383826234709604,0.681677747875492,0,0,0.856894561320414,0.89326483319697,0.0149405517954708,5,FALSE
1_815_2,0,0.447275471600955,0.117670565890602,0.284291475918401,0.811360076545352,0,0,0.83279645940536,0.600589114434096,0.178729112267513,5,FALSE
1_846_1,0,0.307729438293117,0.154676139404297,0.0885362637952905,0.587150661428211,0,0.655030185461494,0.29820193518706,0.46333630862179,0.158506186945297,6,FALSE
1_865_2,0,0.246263047981236,0.178833308512909,0.010960875263335,0.176117763040055,0,0.551597159651666,0.0143944812004721,0.212575606239174,0.0646701654269407,2,FALSE
1_869_2,0,0.439108427420821,0.12053298702224,0.283246666864646,0.613910455543542,0,0,0.866543025116755,0.654696728085401,0.197575074749795,5,FALSE
1_874_1,0,0.330073659633391,0.152303195950804,0.087715363189101,0.56720045996245,0,0.422459716045853,0.38995212669645,0.603173568024344,0.145150549030729,6,FALSE
1_876_1,0,0.307729438293117,0.154676139404297,0.0885362637952905,0.587150661428211,0,0.655030185461493,0.29820193518706,0.463336308621789,0.158506186945297,6,FALSE
1_886_2,0,0.421968271997816,0.120106508119154,0.261677798660768,0.948490073594662,0,0,0.754441096800452,0.444140478776436,0.268832265997622,5,FALSE
